taskId;name;startTime;maxSearchTime;type;videoNumber;startFrame;endFrame;text1;text2;text3;trecvidId;avsText
1;Textual2020-16;2020-1-5 08:24:51;480;KIS_Textual;4815;12897;13280;Seven bridesmaids in turqoise dresses walking down a street, and three still images of the bride and couple.;Seven bridesmaids in turqoise dresses walking down a street, and three still images of the bride and couple. The bridesmaids walk on the sidewalk towards the camera.;Seven bridesmaids in turqoise dresses walking down a street, and three still images of the bride and couple. The bridesmaids walk on the sidewalk towards the camera. The photos of the couple and bride are taken in a park.;
2;Textual2020-17;2020-1-5 08:33:58;480;KIS_Textual;2148;900;1324;A man and a young girl walking down the street. In front of a car dealer, the man talks on the phone, the girl looks at a car, they enter the store.;A man and a young girl walking down the street. In front of a car dealer, the man talks on the phone, the girl looks at a car, they enter the store. The store is a Porsche dealer, a dark grey sports car is parked.;A man and a young girl walking down the street. In front of a car dealer, the man talks on the phone, the girl looks at a car, they enter the store. The store is a Porsche dealer, a dark grey sports car is parked. The man has short gray hair, both wear dark clothes.;
3;AVS2020-15;2020-1-5 08:43:08;300;AVS;;;;;;;avs_vbs2020_15;Find shots of a kid smiling, with no adults visible in the shot.
4;AVS2020-15N;2020-1-5 09:50:57;300;AVS_novice;;;;;;;avs_vbs2020_15N;Find shots of a kid smiling, with no adults visible in the shot.
5;Textual2020-19;2020-1-5 09:52:00;480;KIS_Textual;2733;2344;2852;Two shots of nurses measuring the upper arm circumference of kids.;Two shots of nurses measuring the upper arm circumference of kids. They use a green-white tape measure.;Two shots of nurses measuring the upper arm circumference of kids. They use a green-white tape measure. The woman in the second shot wears a shirt with the text 'HOLT International'.;
6;Textual2020-21;2020-1-5 10:00:34;480;KIS_Textual;3937;3550;4049;Close-up shot of pouring coffee into a white-blue cup, then an outside shot of a house in snow storm.;Close-up shot of pouring coffee into a white-blue cup, then an outside shot of a house in snow storm. Old-style brass coffee and milk pots.;Close-up shot of pouring coffee into a white-blue cup, then an outside shot of a house in snow storm. Old-style brass coffee and milk pots. Three storey wooden house with white windows.;
7;Textual2020-22;2020-1-5 10:09:51;480;KIS_Textual;4161;3428;3931;Shot of a harbour crane in front of mountains, then of three harbour cranes on the left, a ship on the right.;Shot of a harbour crane in front of mountains, then of three harbour cranes on the left, a ship on the right. Ship is seen from the front right, with text 'PROTECT THE ENVIRONMENT' and 'NO SMOKING'.;Shot of a harbour crane in front of mountains, then of three harbour cranes on the left, a ship on the right. Ship is seen from the front right, with text 'PROTECT THE ENVIRONMENT' and 'NO SMOKING'. The harbour cranes are blue and white.;
8;Textual2020-23;2020-1-5 10:18:43;480;KIS_Textual;2700;7263;7742;Red elevator doors opening, a bike leans inside, doors closing and reopening, bike is gone.;Red elevator doors opening, a bike leans inside, doors closing and reopening, bike is gone. Zoom-in on bike, zoom-out from empty elevator.;Red elevator doors opening, a bike leans inside, doors closing and reopening, bike is gone. Zoom-in on bike, zoom-out from empty elevator. The bike is silver, the text 'ATOMZ' is visible.;
9;AVS2020-30;2020-1-5 10:30:39;300;AVS;;;;;;;avs_vbs2020_30;Find selfie shots (ie. showing face or at least head of the person filming) of someone on a paraglider.
10;AVS2020-45;2020-1-6 09:03:53;300;KIS_Visual;1263;2397;2995;;;;
11;Textual2020-24;2020-1-6 09:09:28;480;KIS_Textual;2398;4264;4763;A man holding a microphone and coffee cup walks past a building with a dark gray stone wall, and passes the buildings dark red door with red fences on the sides.;A man holding a microphone and coffee cup walks past a building with a dark gray stone wall, and passes the buildings dark red door with red fences on the sides. The man has brown hair, wears glasses and holds a Starbucks cup.;A man holding a microphone and coffee cup walks past a building with a dark gray stone wall, and passes the buildings dark red door with red fences on the sides. The man has brown hair, wears glasses and holds a Starbucks cup. The upper part of the building is sandstone, and dark gray stairs lead up to the door.;
12;Visual2020-18;2020-1-6 09:18:26;300;KIS_Visual;4835;153;652;;;;
